code	market	time	pinyin	name
002025	sz	2004-07-26	htdq	航天电器
002026	sz	2004-07-27	sdwd	山东威达
002027	sz	2004-08-04	fzcm	分众传媒
002028	sz	2004-08-05	sydq	思源电气
002029	sz	2004-08-06	qpl	七 匹 狼
002030	sz	2004-08-09	dajy	达安基因
002031	sz	2004-08-16	jlzn	巨轮智能
002032	sz	2004-08-17	sbe	苏 泊 尔
002033	sz	2004-08-25	ljly	丽江旅游
002034	sz	2004-08-26	mxd	美 欣 达
002035	sz	2004-09-01	hdgf	华帝股份
002036	sz	2004-09-03	lcdz	联创电子
002037	sz	2004-09-08	jlfz	久联发展
002038	sz	2004-09-09	slyy	双鹭药业
002039	sz	2005-03-03	qydl	黔源电力
002040	sz	2005-03-25	njg	南 京 港
002041	sz	2005-04-18	dhzy	登海种业
002042	sz	2005-04-27	hfsf	华孚色纺
002043	sz	2005-05-10	tbb	兔 宝 宝
002044	sz	2005-05-18	mnjk	美年健康
002045	sz	2005-05-23	ggdq	国光电器
002046	sz	2005-05-26	zykj	轴研科技
002047	sz	2005-05-31	bygf	宝鹰股份
002048	sz	2005-06-03	nbhx	宁波华翔
002049	sz	2005-06-06	zggx	紫光国芯
002050	sz	2005-06-07	shzk	三花智控
002051	sz	2006-06-19	zggj	中工国际
002052	sz	2006-06-27	tzdz	同洲电子
002053	sz	2006-06-27	ynnt	云南能投
002054	sz	2006-07-25	dmhg	德美化工
002055	sz	2006-07-25	drdz	得润电子
002056	sz	2006-08-02	hddc	横店东磁
002057	sz	2006-08-02	zgty	中钢天源
002058	sz	2006-08-02	wet	威 尔 泰
002059	sz	2006-08-10	ynly	云南旅游
002060	sz	2006-08-10	ysd	粤 水 电
002061	sz	2006-08-16	jshg	江山化工
002062	sz	2006-08-16	hrjs	宏润建设
002063	sz	2006-08-23	ygrj	远光软件
002064	sz	2006-08-23	hfag	华峰氨纶
002065	sz	2006-08-23	dhrj	东华软件
002066	sz	2006-08-23	rtkj	瑞泰科技
